data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-05-05,202419,146.5,8,1201,0,0.9892745,39.338047,0,1,230370920241919855,2024-05-12,0.0,1.3342136,372413.0,28.4444444444444,80.8331537777778,0,1,2,80.7112537777778,80.2371822222222,28.4888888888889,28.5555555555556,,,,,,570
2024-04-28,202418,117.0,9,973,0,0.9297278,31.416733,0,1,230370920241819855,2024-05-12,0.0,1.2241937,372413.0,27.1818181818182,88.2481781818182,1,0,2,87.2765409090909,86.1671801818182,27.3045454545455,27.4545454545455,,,,,,570
2024-04-21,202417,109.0,8,828,0,0.9857686,29.268581,0,3,230370920241719855,2024-05-12,0.0,1.3782701,372413.0,27.0454545454545,86.2766725454545,0,1,2,85.2375951818182,84.1985216363636,27.1136363636364,27.1818181818182,,,,,,570
2024-04-14,202416,109.0,33,656,28,0.99633586,29.268581,0,1,230370920241619855,2024-05-12,0.0,1.4926541,372413.0,27.4736842105263,88.4053821578947,1,1,2,86.5188612105263,84.6413075789474,27.6842105263158,27.8947368421053,,,,,,570
2024-04-07,202415,63.0,11,474,9,0.1831537,16.916702,0,1,230370920241519855,2024-05-12,0.0,0.85693216,372413.0,27.4736842105263,88.9272462105263,1,0,1,87.2348532631579,85.4116122105263,27.7368421052632,28.0,,,,,,570
2024-03-31,202414,70.0,38,292,37,0.58189684,18.796337,0,1,230370920241419855,2024-05-12,0.0,1.0357736,372413.0,28.05,84.9923165,0,0,1,84.3417184,83.6911229,28.125,28.2,,,,,,570
2024-03-24,202413,82.0,70,211,70,0.9860259,22.018566,0,3,230370920241319855,2024-05-12,0.0,1.456369,372413.0,27.1111111111111,90.9853425,1,1,1,88.5697907222222,86.1542368333333,27.3611111111111,27.6111111111111,,,,,,570
2024-03-17,202412,72.0,68,139,68,0.969766,19.333374,0,1,230370920241219855,2024-05-12,0.0,1.4041629,372413.0,28.1,86.21064815,0,1,1,84.93988265,83.4271964,28.175,28.25,,,,,,570
2024-03-10,202411,53.0,53,63,53,0.5448941,14.231512,0,1,230370920241119855,2024-05-12,0.0,1.0221821,372413.0,27.8,88.7681654,1,0,1,86.5657184,84.3632708,27.9,28.0,,,,,,570
2024-03-03,202410,39.0,39,45,39,0.2898954,10.472244,0,1,230370920241019855,2024-05-12,0.0,0.88600004,372413.0,28.1176470588235,82.6153881176471,0,0,1,81.9338828235294,81.3654606470588,28.1568627058824,28.1764705882353,,,,,,570
2024-02-25,202409,68.0,68,68,68,0.9999494,18.259298,0,3,230370920240919855,2024-05-12,0.0,2.25523,372413.0,26.65,88.4723786,1,1,1,86.7178745,84.97963505,27.075,27.5,,,,,,570
2024-02-18,202408,45.0,45,45,45,0.99943566,12.083359,0,3,230370920240819855,2024-05-12,0.0,2.3190198,372413.0,27.5454545454545,86.1076721818182,0,1,1,85.0851930909091,84.0627183636364,27.6818181818182,27.8181818181818,,,,,,570
2024-02-11,202407,27.0,27,27,27,0.9789942,7.2500153,0,1,230370920240719855,2024-05-12,0.0,1.9023594,372413.0,27.6666666666667,85.5660295714286,0,1,1,84.7072082380952,83.9285498571429,27.8412698095238,28.0,,,,,,570
2024-02-04,202406,17.0,17,17,17,0.80417025,4.5648246,0,1,230370920240619855,2024-05-12,0.0,1.3678274,372413.0,29.0,79.05851,0,0,1,78.7140725,78.369635,29.0,29.0,,,,,,570
2024-01-28,202405,12.0,12,12,12,0.57215536,3.222229,0,1,230370920240519855,2024-05-12,0.0,1.0771099,372413.0,28.8571428571429,76.4873237142857,0,0,0,75.5263371428571,74.5653514285714,28.9285714285714,29.0,,,,,,570
2024-01-21,202404,13.0,13,13,13,0.81201035,3.4907482,0,1,230370920240419855,2024-05-12,0.0,1.4535213,372413.0,28.7142857142857,77.746113,0,0,0,77.4180772857143,77.0900415714286,28.7142857142857,28.7142857142857,,,,,,570
2024-01-14,202403,12.0,12,12,12,0.9337489,3.222229,0,1,230370920240319855,2024-05-12,0.0,2.0477135,372413.0,28.0,79.4069861,0,0,0,78.470939,77.5348935,28.0,28.0,,,,,,570
2024-01-07,202402,9.0,9,9,9,0.97853774,2.4166718,0,1,230370920240219855,2024-05-12,0.0,3.4901822,372413.0,28.1428571428571,78.319558,0,0,0,77.6537392857143,76.98792,28.2142857142857,28.2857142857143,,,,,,570
2023-12-31,202401,7.0,7,7,7,0.9968302,1.8796337,0,1,230370920240119855,2024-05-12,0.0,11.282129,372413.0,27.85,82.3107347,0,0,0,80.9860754,79.66141765,27.95,28.05,,,,,,570
2023-12-24,202352,1.0,1,1,1,0.9510618,0.2685191,0,1,230370920235219855,2024-05-12,0.0,13.814252,372413.0,27.695652173913,82.5313637826087,0,0,0,79.9348277826087,76.7658870869565,28.1014493913043,28.695652173913,,,,,,570
2023-12-17,202351,0.0,0,0,0,0.0,0.0,0,1,230370920235119855,2024-05-12,0.0,0.0,372413.0,27.5217391304348,80.892031173913,0,0,0,79.0631762173913,76.5488045652174,27.9782608695652,28.3913043478261,,,,,,570
2023-12-10,202350,0.0,0,0,0,0.0,0.0,0,1,230370920235019855,2024-05-12,0.0,0.0,372413.0,27.0645161290323,83.9642276774194,0,0,0,76.0383689032258,67.6265021935484,27.9193545806452,29.5161290322581,,,,,,570
2023-12-03,202349,0.0,0,0,0,0.0,0.0,0,1,230370920234919855,2024-05-12,0.0,0.0,372413.0,26.5,86.217953,0,0,0,73.7726225,55.4432235,28.4027775,31.5,,,,,,570
2023-11-26,202348,0.0,0,0,0,0.0,0.0,0,1,230370920234819855,2024-05-12,0.0,0.0,372413.0,,84.1226642051282,0,0,0,,,,,,,,,,570
2023-11-19,202347,4.0,4,4,4,0.7166326,1.0740764,0,1,230370920234719855,2024-05-12,0.0,1.5249767,372413.0,,82.0273754102564,0,0,0,,,,,,,,,,570
