data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-05-05,202419,263.0,93,788,25,0.0046597403,10.130358,0,1,230440020241919855,2024-05-12,0.0,0.80675447,2596157.0,28.4444444444444,80.8331537777778,0,0,1,80.7112537777778,80.2371822222222,28.4888888888889,28.5555555555556,,,,,,8038
2024-04-28,202418,292.0,173,592,118,1.1482451e-05,11.247394,0,1,230440020241819855,2024-05-12,0.0,0.7239589,2596157.0,27.1818181818182,88.2481781818182,1,0,1,87.2765409090909,86.1671801818182,27.3045454545455,27.4545454545455,,,,,,8038
2024-04-21,202417,300.5,226,501,187,2.439493e-12,11.5748005,0,1,230440020241719855,2024-05-12,0.0,0.6080746,2596157.0,27.0454545454545,86.2766725454545,0,0,1,85.2375951818182,84.1985216363636,27.1136363636364,27.1818181818182,,,,,,8038
2024-04-14,202416,365.0,321,470,297,2.0798757e-07,14.059242,0,1,230440020241619855,2024-05-12,0.0,0.70917225,2596157.0,27.4736842105263,88.4053821578947,1,0,1,86.5188612105263,84.6413075789474,27.6842105263158,27.8947368421053,,,,,,8038
2024-04-07,202415,561.0,537,613,522,0.9963872,21.608862,0,3,230440020241519855,2024-05-12,0.0,1.1819544,2596157.0,27.4736842105263,88.9272462105263,1,1,1,87.2348532631579,85.4116122105263,27.7368421052632,28.0,,,,,,8038
2024-03-31,202414,586.0,570,614,563,0.99993026,22.571825,0,1,230440020241419855,2024-05-12,0.0,1.2661136,2596157.0,28.05,84.9923165,0,1,1,84.3417184,83.6911229,28.125,28.2,,,,,,8038
2024-03-24,202413,406.0,395,427,392,0.0047152443,15.638499,0,1,230440020241319855,2024-05-12,0.0,0.84000045,2596157.0,27.1111111111111,90.9853425,1,0,1,88.5697907222222,86.1542368333333,27.3611111111111,27.6111111111111,,,,,,8038
2024-03-17,202412,463.0,457,475,455,0.2414437,17.834053,0,1,230440020241219855,2024-05-12,0.0,0.95544904,2596157.0,28.1,86.21064815,0,0,1,84.93988265,83.4271964,28.175,28.25,,,,,,8038
2024-03-10,202411,483.0,478,494,478,0.9319842,18.604422,0,1,230440020241119855,2024-05-12,0.0,1.1032588,2596157.0,27.8,88.7681654,1,0,1,86.5657184,84.3632708,27.9,28.0,,,,,,8038
2024-03-03,202410,545.0,542,554,542,1.0,20.992567,0,3,230440020241019855,2024-05-12,0.0,1.4611436,2596157.0,28.1176470588235,82.6153881176471,0,1,1,81.9338828235294,81.3654606470588,28.1568627058824,28.1764705882353,,,,,,8038
2024-02-25,202409,428.0,428,428,428,0.9999933,16.485907,0,3,230440020240919855,2024-05-12,0.0,1.3804768,2596157.0,26.65,88.4723786,1,1,1,86.7178745,84.97963505,27.075,27.5,,,,,,8038
2024-02-18,202408,376.0,376,376,376,0.99999833,14.482945,0,3,230440020240819855,2024-05-12,0.0,1.4501495,2596157.0,27.5454545454545,86.1076721818182,0,1,1,85.0851930909091,84.0627183636364,27.6818181818182,27.8181818181818,,,,,,8038
2024-02-11,202407,316.0,316,316,316,0.9999413,12.171837,0,1,230440020240719855,2024-05-12,0.0,1.394746,2596157.0,27.6666666666667,85.5660295714286,0,1,1,84.7072082380952,83.9285498571429,27.8412698095238,28.0,,,,,,8038
2024-02-04,202406,230.0,230,230,230,0.94194925,8.859248,0,1,230440020240619855,2024-05-12,0.0,1.1642276,2596157.0,29.0,79.05851,0,0,1,78.7140725,78.369635,29.0,29.0,,,,,,8038
2024-01-28,202405,248.0,248,248,248,0.99992603,9.552581,0,3,230440020240519855,2024-05-12,0.0,1.453164,2596157.0,28.8571428571429,76.4873237142857,0,1,1,75.5263371428571,74.5653514285714,28.9285714285714,29.0,,,,,,8038
2024-01-21,202404,184.0,184,184,184,0.9862755,7.087399,0,3,230440020240419855,2024-05-12,0.0,1.2764022,2596157.0,28.7142857142857,77.746113,0,1,1,77.4180772857143,77.0900415714286,28.7142857142857,28.7142857142857,,,,,,8038
